nombre_estado,cve_ent,normal_pr_mm
Nacional,00,877.6157203080755
Aguascalientes,01,529.233888572592
Baja California,02,146.5490758802491
Baja California Sur,03,150.22701702522738
Campeche,04,1329.8219032418294
Coahuila,05,361.56318715934657
Colima,06,890.795098296134
Chiapas,07,1997.844447448658
Chihuahua,08,446.88132061969947
Ciudad de México,09,959.4712538869022
Durango,10,609.763742596768
Guanajuato,11,596.7593168113249
Guerrero,12,1231.3777101997612
Hidalgo,13,819.5785783393833
Jalisco,14,880.3655274263228
Estado de México,15,918.6994470909611
Michoacán,16,889.8325941690467
Morelos,17,986.0483644709594
Nayarit,18,1103.7726427377718
Nuevo León,19,514.159121957261
Oaxaca,20,1426.4539579481482
Puebla,21,967.8309688736227
Querétaro,22,643.1171095760924
Quintana Roo,23,1285.3575584456157
San Luis Potosí,24,603.8413195695191
Sinaloa,25,693.6512256841797
Sonora,26,375.4921724457972
Tabasco,27,1991.380712398793
Tamaulipas,28,702.098491007752
Tlaxcala,29,735.3487093981156
Veracruz,30,1738.6849524380782
Yucatán,31,1092.7037596345272
Zacatecas,32,464.9978745079783
